Entered simulation run.
Population initialized.
Variables initialized, preparing to begin simulation.
log average fitness in generation 1663, 420 generations after burn-in, is: -0.574455
log average fitness in generation 1664, 421 generations after burn-in, is: -0.567627
log average fitness in generation 1665, 422 generations after burn-in, is: -0.568127
log average fitness in generation 1666, 423 generations after burn-in, is: -0.572388
log average fitness in generation 1667, 424 generations after burn-in, is: -0.573920
log average fitness in generation 1668, 425 generations after burn-in, is: -0.563628
log average fitness in generation 1669, 426 generations after burn-in, is: -0.554346
log average fitness in generation 1670, 427 generations after burn-in, is: -0.549241
log average fitness in generation 1671, 428 generations after burn-in, is: -0.547213
log average fitness in generation 1672, 429 generations after burn-in, is: -0.537714
log average fitness in generation 1673, 430 generations after burn-in, is: -0.534437
log average fitness in generation 1674, 431 generations after burn-in, is: -0.536971
log average fitness in generation 1675, 432 generations after burn-in, is: -0.544544
log average fitness in generation 1676, 433 generations after burn-in, is: -0.533206
log average fitness in generation 1677, 434 generations after burn-in, is: -0.534517
log average fitness in generation 1678, 435 generations after burn-in, is: -0.538684
log average fitness in generation 1679, 436 generations after burn-in, is: -0.546331
log average fitness in generation 1680, 437 generations after burn-in, is: -0.549346
log average fitness in generation 1681, 438 generations after burn-in, is: -0.545364
log average fitness in generation 1682, 439 generations after burn-in, is: -0.542391
log average fitness in generation 1683, 440 generations after burn-in, is: -0.542704
log average fitness in generation 1684, 441 generations after burn-in, is: -0.550808
log average fitness in generation 1685, 442 generations after burn-in, is: -0.551184
log average fitness in generation 1686, 443 generations after burn-in, is: -0.551286
log average fitness in generation 1687, 444 generations after burn-in, is: -0.552676
log average fitness in generation 1688, 445 generations after burn-in, is: -0.550536
