Entered simulation run.
Population initialized.
Variables initialized, preparing to begin simulation.
log average fitness in generation 1105, 257 generations after burn-in, is: -11.880832
log average fitness in generation 1106, 258 generations after burn-in, is: -11.908666
log average fitness in generation 1107, 259 generations after burn-in, is: -11.918852
log average fitness in generation 1108, 260 generations after burn-in, is: -11.882565
log average fitness in generation 1109, 261 generations after burn-in, is: -11.900668
log average fitness in generation 1110, 262 generations after burn-in, is: -11.910718
log average fitness in generation 1111, 263 generations after burn-in, is: -11.873567
log average fitness in generation 1112, 264 generations after burn-in, is: -11.809978
log average fitness in generation 1113, 265 generations after burn-in, is: -11.791764
log average fitness in generation 1114, 266 generations after burn-in, is: -11.765734
log average fitness in generation 1115, 267 generations after burn-in, is: -11.772551
log average fitness in generation 1116, 268 generations after burn-in, is: -11.779064
log average fitness in generation 1117, 269 generations after burn-in, is: -11.800774
log average fitness in generation 1118, 270 generations after burn-in, is: -11.820950
log average fitness in generation 1119, 271 generations after burn-in, is: -11.851867
log average fitness in generation 1120, 272 generations after burn-in, is: -11.879290
log average fitness in generation 1121, 273 generations after burn-in, is: -11.881518
log average fitness in generation 1122, 274 generations after burn-in, is: -11.937624
log average fitness in generation 1123, 275 generations after burn-in, is: -11.977736
log average fitness in generation 1124, 276 generations after burn-in, is: -11.989941
log average fitness in generation 1125, 277 generations after burn-in, is: -11.991681
log average fitness in generation 1126, 278 generations after burn-in, is: -11.917278
log average fitness in generation 1127, 279 generations after burn-in, is: -11.934728
log average fitness in generation 1128, 280 generations after burn-in, is: -11.977838
log average fitness in generation 1129, 281 generations after burn-in, is: -12.034623
log average fitness in generation 1130, 282 generations after burn-in, is: -12.043832
log average fitness in generation 1131, 283 generations after burn-in, is: -12.030818
log average fitness in generation 1132, 284 generations after burn-in, is: -11.991419
log average fitness in generation 1133, 285 generations after burn-in, is: -11.950070
log average fitness in generation 1134, 286 generations after burn-in, is: -11.940827
log average fitness in generation 1135, 287 generations after burn-in, is: -11.990052
log average fitness in generation 1136, 288 generations after burn-in, is: -12.002069
log average fitness in generation 1137, 289 generations after burn-in, is: -11.987071
log average fitness in generation 1138, 290 generations after burn-in, is: -12.036253
log average fitness in generation 1139, 291 generations after burn-in, is: -12.023610
log average fitness in generation 1140, 292 generations after burn-in, is: -12.013344
log average fitness in generation 1141, 293 generations after burn-in, is: -11.990874
log average fitness in generation 1142, 294 generations after burn-in, is: -11.977467
log average fitness in generation 1143, 295 generations after burn-in, is: -11.959823
log average fitness in generation 1144, 296 generations after burn-in, is: -12.010881
